subject,version,browser_event,trial,time,timepoint,stamp,id
5dbe5d44aab19f35c5459b57,v5_pilot1,blur,3,99500,,2024-11-08 18:28:12,19964
66c38291d4640f623d8a8d95,v5_pilot1,blur,1,1859,,2024-11-08 18:28:49,19965
663ba98aaef0a810990579ad,v5_pilot1,focus,1,50822,,2024-11-08 18:28:49,19966
663ba98aaef0a810990579ad,v5_pilot1,blur,1,52009,,2024-11-08 18:28:50,19967
66c38291d4640f623d8a8d95,v5_pilot1,focus,1,3209,,2024-11-08 18:28:51,19968
66c38291d4640f623d8a8d95,v5_pilot1,blur,13,47501,,2024-11-08 18:29:35,19969
663ba98aaef0a810990579ad,v5_pilot1,focus,1,96480,,2024-11-08 18:29:35,19970
663ba98aaef0a810990579ad,v5_pilot1,blur,5,107476,,2024-11-08 18:29:46,19971
66c38291d4640f623d8a8d95,v5_pilot1,focus,19,58647,,2024-11-08 18:29:46,19972
602c7d31733e6a57dda83b9d,v5_pilot1,blur,19,39338,,2024-11-08 18:30:08,19973
602c7d31733e6a57dda83b9d,v5_pilot1,focus,41,77002,,2024-11-08 18:30:46,19974
66c38291d4640f623d8a8d95,v5_pilot1,blur,59,174486,,2024-11-08 18:31:42,19975
663ba98aaef0a810990579ad,v5_pilot1,focus,33,223461,,2024-11-08 18:31:43,19976
672e29e962095fb3053551b1,v5_pilot1,focus,1,14664,,2024-11-08 18:33:05,19977
663ba98aaef0a810990579ad,v5_pilot1,blur,53,311298,,2024-11-08 18:33:10,19978
602c7d31733e6a57dda83b9d,v5_pilot1,blur,42,222468,,2024-11-08 18:33:11,19979
66c38291d4640f623d8a8d95,v5_pilot1,focus,59,265700,,2024-11-08 18:33:14,19980
66c38291d4640f623d8a8d95,v5_pilot1,blur,61,268117,,2024-11-08 18:33:15,19981
663ba98aaef0a810990579ad,v5_pilot1,focus,53,317105,,2024-11-08 18:33:16,19982
663ba98aaef0a810990579ad,v5_pilot1,blur,57,337937,,2024-11-08 18:33:36,19983
66c38291d4640f623d8a8d95,v5_pilot1,focus,61,289122,,2024-11-08 18:33:36,19984
5dbe5d44aab19f35c5459b57,v5_pilot1,focus,3,446211,,2024-11-08 18:33:58,19985
66c38291d4640f623d8a8d95,v5_pilot1,blur,75,319109,,2024-11-08 18:34:06,19986
663ba98aaef0a810990579ad,v5_pilot1,focus,57,368075,,2024-11-08 18:34:06,19987
663ba98aaef0a810990579ad,v5_pilot1,blur,65,389895,,2024-11-08 18:34:28,19988
66c38291d4640f623d8a8d95,v5_pilot1,focus,75,341098,,2024-11-08 18:34:28,19989
66c38291d4640f623d8a8d95,v5_pilot1,blur,80,363851,,2024-11-08 18:34:51,19990
663ba98aaef0a810990579ad,v5_pilot1,focus,65,412798,,2024-11-08 18:34:51,19991
663ba98aaef0a810990579ad,v5_pilot1,blur,66,416981,,2024-11-08 18:34:55,19992
66c38291d4640f623d8a8d95,v5_pilot1,focus,80,368167,,2024-11-08 18:34:55,19993
66c38291d4640f623d8a8d95,v5_pilot1,blur,91,391376,,2024-11-08 18:35:19,19994
663ba98aaef0a810990579ad,v5_pilot1,focus,66,440338,,2024-11-08 18:35:19,19995
663ba98aaef0a810990579ad,v5_pilot1,blur,68,447020,,2024-11-08 18:35:25,19996
66c38291d4640f623d8a8d95,v5_pilot1,focus,91,398206,,2024-11-08 18:35:26,19997
66c38291d4640f623d8a8d95,v5_pilot1,blur,94,415548,,2024-11-08 18:35:43,19998
663ba98aaef0a810990579ad,v5_pilot1,focus,68,464519,,2024-11-08 18:35:43,19999
663ba98aaef0a810990579ad,v5_pilot1,blur,69,469416,,2024-11-08 18:35:48,20000
66c38291d4640f623d8a8d95,v5_pilot1,focus,94,420588,,2024-11-08 18:35:48,20001
67028e742374a39eb1552a5b,v5_pilot1,blur,3,82153,,2024-11-08 18:36:16,20002
67028e742374a39eb1552a5b,v5_pilot1,focus,3,85501,,2024-11-08 18:36:17,20003
6109ca40ef8f38498af102ff,v5_pilot1,blur,49,147586,,2024-11-08 18:37:07,20004
66c38291d4640f623d8a8d95,v5_pilot1,blur,108,521471,,2024-11-08 18:37:29,20005
663ba98aaef0a810990579ad,v5_pilot1,focus,69,570437,,2024-11-08 18:37:30,20006
663ba98aaef0a810990579ad,v5_pilot1,blur,71,575644,,2024-11-08 18:37:34,20007
66c38291d4640f623d8a8d95,v5_pilot1,focus,108,526819,,2024-11-08 18:37:34,20008
6109ca40ef8f38498af102ff,v5_pilot1,focus,49,177262,,2024-11-08 18:37:37,20009
602c7d31733e6a57dda83b9d,v5_pilot1,focus,42,512795,,2024-11-08 18:38:02,20010
602c7d31733e6a57dda83b9d,v5_pilot1,blur,42,512945,,2024-11-08 18:38:02,20011
6115fe9d0646ea1c604731b6,v5_pilot1,blur,2,199072,,2024-11-08 18:38:07,20012
6115fe9d0646ea1c604731b6,v5_pilot1,focus,2,205211,,2024-11-08 18:38:13,20013
66c38291d4640f623d8a8d95,v5_pilot1,blur,121,567091,,2024-11-08 18:38:14,20014
6115fe9d0646ea1c604731b6,v5_pilot1,blur,2,206495,,2024-11-08 18:38:15,20015
66c38291d4640f623d8a8d95,v5_pilot1,focus,121,568395,,2024-11-08 18:38:16,20016
66c38291d4640f623d8a8d95,v5_pilot1,blur,125,589984,,2024-11-08 18:38:37,20017
663ba98aaef0a810990579ad,v5_pilot1,focus,71,638999,,2024-11-08 18:38:37,20018
6115fe9d0646ea1c604731b6,v5_pilot1,focus,2,232681,,2024-11-08 18:38:41,20019
672e29e962095fb3053551b1,v5_pilot1,blur,46,365200,,2024-11-08 18:38:55,20020
663ba98aaef0a810990579ad,v5_pilot1,blur,79,665957,,2024-11-08 18:39:04,20021
66c38291d4640f623d8a8d95,v5_pilot1,focus,128,617159,,2024-11-08 18:39:05,20022
66c38291d4640f623d8a8d95,v5_pilot1,blur,129,618674,,2024-11-08 18:39:06,20023
663ba98aaef0a810990579ad,v5_pilot1,focus,79,667664,,2024-11-08 18:39:06,20024
672e29e962095fb3053551b1,v5_pilot1,focus,46,387135,,2024-11-08 18:39:18,20025
663ba98aaef0a810990579ad,v5_pilot1,blur,88,686245,,2024-11-08 18:39:25,20026
663ba98aaef0a810990579ad,v5_pilot1,focus,88,687528,,2024-11-08 18:39:26,20027
663ba98aaef0a810990579ad,v5_pilot1,blur,102,726697,,2024-11-08 18:40:05,20028
663ba98aaef0a810990579ad,v5_pilot1,focus,1,139,,2024-11-08 18:40:06,20029
663ba98aaef0a810990579ad,v5_pilot1,blur,1,7645,,2024-11-08 18:40:14,20030
663ba98aaef0a810990579ad,v5_pilot1,focus,1,8857,,2024-11-08 18:40:15,20031
663ba98aaef0a810990579ad,v5_pilot1,blur,1,14038,,2024-11-08 18:40:20,20032
66c38291d4640f623d8a8d95,v5_pilot1,focus,137,695669,,2024-11-08 18:40:24,20033
66c38291d4640f623d8a8d95,v5_pilot1,blur,138,697512,,2024-11-08 18:40:25,20034
663ba98aaef0a810990579ad,v5_pilot1,focus,1,19124,,2024-11-08 18:40:25,20035
663ba98aaef0a810990579ad,v5_pilot1,blur,2,25855,,2024-11-08 18:40:32,20036
663ba98aaef0a810990579ad,v5_pilot1,focus,2,26034,,2024-11-08 18:40:32,20037
663ba98aaef0a810990579ad,v5_pilot1,blur,2,26704,,2024-11-08 18:40:33,20038
663ba98aaef0a810990579ad,v5_pilot1,focus,2,26820,,2024-11-08 18:40:33,20039
663ba98aaef0a810990579ad,v5_pilot1,blur,2,4441,,2024-11-08 18:40:41,20040
663ba98aaef0a810990579ad,v5_pilot1,focus,2,9164,,2024-11-08 18:40:46,20041
6109ca40ef8f38498af102ff,v5_pilot1,blur,81,372275,,2024-11-08 18:40:52,20042
6109ca40ef8f38498af102ff,v5_pilot1,focus,81,372945,,2024-11-08 18:40:52,20043
663ba98aaef0a810990579ad,v5_pilot1,blur,5,16764,,2024-11-08 18:40:53,20044
66c38291d4640f623d8a8d95,v5_pilot1,focus,141,725956,,2024-11-08 18:40:53,20045
66c38291d4640f623d8a8d95,v5_pilot1,blur,142,731785,,2024-11-08 18:40:59,20046
66c38291d4640f623d8a8d95,v5_pilot1,focus,145,753473,,2024-11-08 18:41:21,20047
66c38291d4640f623d8a8d95,v5_pilot1,blur,146,756807,,2024-11-08 18:41:24,20048
663ba98aaef0a810990579ad,v5_pilot1,focus,19,47812,,2024-11-08 18:41:24,20049
663ba98aaef0a810990579ad,v5_pilot1,blur,21,50227,,2024-11-08 18:41:27,20050
66c38291d4640f623d8a8d95,v5_pilot1,focus,149,777981,,2024-11-08 18:41:45,20051
6109ca40ef8f38498af102ff,v5_pilot1,blur,89,428877,,2024-11-08 18:41:48,20052
6109ca40ef8f38498af102ff,v5_pilot1,focus,90,436301,,2024-11-08 18:41:56,20053
6109ca40ef8f38498af102ff,v5_pilot1,blur,91,438145,,2024-11-08 18:41:57,20054
6109ca40ef8f38498af102ff,v5_pilot1,focus,91,441130,,2024-11-08 18:42:00,20055
5dbe5d44aab19f35c5459b57,v5_pilot1,blur,3,936779,,2024-11-08 18:42:10,20056
5dbe5d44aab19f35c5459b57,v5_pilot1,focus,3,946684,,2024-11-08 18:42:18,20057
63c09186d75a9bbd3bec5652,v5_pilot1,blur,52,395085,,2024-11-08 18:42:29,20058
63c09186d75a9bbd3bec5652,v5_pilot1,focus,52,398501,,2024-11-08 18:42:32,20059
657f2c310745eab2771264d8,v5_pilot1,blur,61,1039843,,2024-11-08 18:43:11,20060
657f2c310745eab2771264d8,v5_pilot1,focus,61,1042010,,2024-11-08 18:43:14,20061
657f2c310745eab2771264d8,v5_pilot1,blur,67,1155815,,2024-11-08 18:45:07,20062
657f2c310745eab2771264d8,v5_pilot1,focus,67,1165965,,2024-11-08 18:45:18,20063
6110d59cbf733422cb867da5,v5_pilot1,blur,1,92889,,2024-11-08 18:47:00,20064
6110d59cbf733422cb867da5,v5_pilot1,focus,1,92894,,2024-11-08 18:47:00,20065
66c38291d4640f623d8a8d95,v5_pilot1,blur,214,1099352,,2024-11-08 18:47:07,20066
663ba98aaef0a810990579ad,v5_pilot1,focus,41,397682,,2024-11-08 18:47:15,20067
663ba98aaef0a810990579ad,v5_pilot1,blur,41,402815,,2024-11-08 18:47:19,20068
663ba98aaef0a810990579ad,v5_pilot1,focus,41,514831,,2024-11-08 18:49:12,20069
663ba98aaef0a810990579ad,v5_pilot1,blur,50,531672,,2024-11-08 18:49:28,20070
657f2c310745eab2771264d8,v5_pilot1,blur,90,1449069,,2024-11-08 18:50:01,20071
