"subject","version","browser_event","trial","time","timepoint","stamp","id"
"55cc5163e8fd08caf3060eaeee66c8d1","v5_pilot1","blur",215,1799385,NA,"2024-11-13 15:37:39",24200
"b82cddde64b20d5946d5addc1bd9abb7","v5_pilot1","blur",69,1397168,NA,"2024-11-19 16:25:23",27472
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",1,10937,NA,"2024-11-13 17:15:54",25763
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",1,16238,NA,"2024-11-13 17:16:00",25764
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",3,194761,NA,"2024-11-13 17:18:59",25781
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",3,261124,NA,"2024-11-13 17:20:05",25785
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",3,471197,NA,"2024-11-13 17:23:35",25798
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",3,489988,NA,"2024-11-13 17:23:53",25802
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",3,490854,NA,"2024-11-13 17:23:54",25803
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",3,520720,NA,"2024-11-13 17:24:24",25805
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",19,1739017,NA,"2024-11-13 17:44:43",25931
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",19,1741283,NA,"2024-11-13 17:44:45",25932
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",211,3413295,NA,"2024-11-13 18:12:37",26284
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",211,3415060,NA,"2024-11-13 18:12:39",26286
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",215,4193996,NA,"2024-11-13 18:25:38",26408
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",215,4216728,NA,"2024-11-13 18:26:00",26409
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",215,4217661,NA,"2024-11-13 18:26:01",26410
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",215,4359846,NA,"2024-11-13 18:28:24",26418
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",215,4361232,NA,"2024-11-13 18:28:25",26419
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",215,4365025,NA,"2024-11-13 18:28:29",26421
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",215,4366281,NA,"2024-11-13 18:28:30",26422
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",215,4390235,NA,"2024-11-13 18:28:54",26426
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",215,4391010,NA,"2024-11-13 18:28:55",26427
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",215,4397936,NA,"2024-11-13 18:29:01",26428
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",215,4409338,NA,"2024-11-13 18:29:13",26430
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","focus",215,4674937,NA,"2024-11-13 18:33:39",26450
"be97a14de4f36cd82f091f4a1a532a14","v5_pilot1","blur",215,4678315,NA,"2024-11-13 18:33:42",26451
"2df096966fd095b3414fadf87dad585f","v5_pilot1","blur",18,290798,NA,"2024-11-19 15:36:50",26865
"2df096966fd095b3414fadf87dad585f","v5_pilot1","focus",18,291143,NA,"2024-11-19 15:36:51",26866
"2df096966fd095b3414fadf87dad585f","v5_pilot1","blur",69,1398641,NA,"2024-11-19 15:55:21",27173
"2df096966fd095b3414fadf87dad585f","v5_pilot1","focus",69,1440431,NA,"2024-11-19 15:56:00",27193
"2df096966fd095b3414fadf87dad585f","v5_pilot1","blur",70,1449301,NA,"2024-11-19 15:56:09",27196
"2df096966fd095b3414fadf87dad585f","v5_pilot1","focus",70,1454235,NA,"2024-11-19 15:56:14",27198
"2df096966fd095b3414fadf87dad585f","v5_pilot1","blur",1,2197,NA,"2024-11-19 15:56:21",27199
